geo_code_long,GEO_NAME,year,raceth,racethd,immig,sex,racethdimmigsex,phhnocar_acsglyt,nhhnocar_acsglyt,phhrent_acsglyt,pbaplus_acsglyt,pnhw_acsglyt,pnhb_acsglyt,phis_acsglyt,pnhapi_acsglyt,pnaian_acsglyt,pnhoo_acsglyt,ppoc_acsglyt
04000000000002150,"Kodiak Island, AK",2000,All,All,All,All people,All,.0951,420,.4518,.1875,.5751,.0093,.0610,.1652,.1435,.0460,.4249
04000000000002164,"Lake And Peninsula, AK",2000,All,All,All,All people,All,.4202,258,.3266,.1280,.1876,.0005,.0115,.0033,.7301,.0669,.8124
04000000000002170,"Matanuska-Susitna, AK",2000,All,All,All,All people,All,.0367,754,.2116,.1826,.8627,.0067,.0250,.0079,.0534,.0443,.1373
04000000000002180,"Nome, AK",2000,All,All,All,All people,All,.5559,1497,.4177,.1473,.1905,.0038,.0100,.0070,.7483,.0405,.8095
04000000000002185,"North Slope, AK",2000,All,All,All,All people,All,.4851,1023,.5121,.1700,.1663,.0069,.0237,.0669,.6746,.0616,.8337
04000000000002188,"Northwest Arctic, AK",2000,All,All,All,All people,All,.7163,1275,.4371,.1269,.1218,.0021,.0079,.0094,.8212,.0376,.8782
04000000000002195,"Petersburg Census Area, AK",2000,All,All,All,All people,All,.1454,232,.2830,.1781,,,,,,,
04000000000002198,"Skagway Municipality, AK",2000,All,All,All,All people,All,.1580,345,.2965,.1409,,,,,,,
04000000000002201,"Prince Of Wales-Outer Ketchikan, AK",2000,All,All,All,All people,All,,,,,.5252,.0015,.0174,.0041,.3807,.0711,.4748
04000000000002220,"Sitka, AK",2000,All,All,All,All people,All,.1184,388,.4189,.2955,.6709,.0027,.0328,.0407,.1808,.0721,.3291
04000000000002230,"Skagway Municipality, AK",2000,All,All,All,All people,All,.0819,33,.3772,.2500,,,,,,,
04000000000002232,"Skagway-Hoonah-Angoon, AK",2000,All,All,All,All people,All,,,,,.5748,.0015,.0282,.0049,.3396,.0509,.4252
04000000000002240,"Southeast Fairbanks, AK",2000,All,All,All,All people,All,.0887,186,.3089,.1822,.7742,.0191,.0270,.0083,.1259,.0455,.2258
04000000000002261,"Valdez-Cordova, AK",2000,All,All,All,All people,All,.0868,339,.3218,.2124,.7466,.0032,.0281,.0377,.1300,.0544,.2534
04000000000002270,"Wade Hampton, AK",2000,All,All,All,All people,All,.7611,1214,.3356,.0903,.0470,.0006,.0033,.0011,.9229,.0252,.9530
04000000000002275,"Wrangell City and Borough, AK",2000,All,All,All,All people,All,.1491,151,.3172,.1401,,,,,,,
04000000000002280,"Wrangell-Petersburg, AK",2000,All,All,All,All people,All,,,,,.7250,.0022,.0197,.0168,.1583,.0779,.2750
04000000000002282,"Yakutat, AK",2000,All,All,All,All people,All,.1547,41,.4038,.1762,.5025,.0012,.0074,.0198,.3923,.0767,.4975
04000000000002290,"Yukon-Koyukuk, AK",2000,All,All,All,All people,All,.5335,1250,.3284,.1435,.2403,.0009,.0119,.0040,.7037,.0392,.7597
04000000000004001,"Apache, AZ",2000,All,All,All,All people,All,.1640,3275,.2567,.1135,.1769,.0023,.0449,.0017,.7640,.0102,.8231
04000000000004003,"Cochise, AZ",2000,All,All,All,All people,All,.0710,3115,.3269,.1880,.6009,.0430,.3069,.0182,.0083,.0228,.3991
04000000000004005,"Coconino, AZ",2000,All,All,All,All people,All,.0690,2790,.3862,.2995,.5757,.0099,.1094,.0086,.2799,.0165,.4243
04000000000004007,"Gila, AZ",2000,All,All,All,All people,All,.0753,1516,.2125,.1385,.6894,.0034,.1665,.0046,.1249,.0112,.3106
04000000000004009,"Graham, AZ",2000,All,All,All,All people,All,.0845,855,.2683,.1183,.5521,.0180,.2704,.0057,.1439,.0100,.4479
04000000000004011,"Greenlee, AZ",2000,All,All,All,All people,All,.0491,153,.4896,.1220,.5387,.0040,.4307,.0015,.0137,.0115,.4613
04000000000004012,"La Paz, AZ",2000,All,All,All,All people,All,.0554,462,.2192,.0865,.6377,.0076,.2242,.0044,.1093,.0168,.3623
04000000000004013,"Maricopa, AZ",2000,All,All,All,All people,All,.0695,78750,.3251,.2589,.6622,.0353,.2485,.0222,.0149,.0169,.3378
04000000000004015,"Mohave, AZ",2000,All,All,All,All people,All,.0566,3554,.2640,.0993,.8404,.0051,.1108,.0082,.0209,.0147,.1596
04000000000004017,"Navajo, AZ",2000,All,All,All,All people,All,.1289,3872,.2454,.1229,.4227,.0081,.0822,.0036,.4704,.0130,.5773
04000000000004019,"Pima, AZ",2000,All,All,All,All people,All,.0901,29934,.3572,.2675,.6148,.0285,.2934,.0207,.0259,.0167,.3852
04000000000004021,"Pinal, AZ",2000,All,All,All,All people,All,.0662,4066,.2256,.1192,.5878,.0259,.2986,.0062,.0691,.0124,.4122
04000000000004023,"Santa Cruz, AZ",2000,All,All,All,All people,All,.0839,992,.3203,.1520,.1781,.0020,.8078,.0054,.0025,.0043,.8219
04000000000004025,"Yavapai, AZ",2000,All,All,All,All people,All,.0478,3358,.2659,.2115,.8658,.0035,.0978,.0057,.0141,.0131,.1342
04000000000004027,"Yuma, AZ",2000,All,All,All,All people,All,.0722,3887,.2779,.1184,.4434,.0196,.5047,.0093,.0114,.0116,.5566
04000000000005001,"Arkansas, AR",2000,All,All,All,All people,All,.0874,739,.3221,.1218,.7478,.2324,.0076,.0036,.0020,.0066,.2522
04000000000005003,"Ashley, AR",2000,All,All,All,All people,All,.1028,965,.2380,.1006,.6899,.2687,.0321,.0019,.0014,.0060,.3101
04000000000005005,"Baxter, AR",2000,All,All,All,All people,All,.0567,966,.2026,.1278,.9712,.0011,.0100,.0036,.0049,.0091,.0288
04000000000005007,"Benton, AR",2000,All,All,All,All people,All,.0431,2512,.2779,.2032,.8676,.0036,.0878,.0115,.0156,.0138,.1324
04000000000005009,"Boone, AR",2000,All,All,All,All people,All,.0666,922,.2666,.1266,.9693,.0011,.0106,.0034,.0068,.0087,.0307
04000000000005011,"Bradley, AR",2000,All,All,All,All people,All,.1008,485,.2748,.1185,.6231,.2856,.0825,.0006,.0019,.0063,.3769
04000000000005013,"Calhoun, AR",2000,All,All,All,All people,All,.0997,230,.1780,.0719,.7396,.2336,.0150,.0003,.0021,.0094,.2604
