fips,median_household_income
23003,"42,600"
23005,"70,661"
23007,"45,280"
23009,"51,009"
23011,"52,265"
23013,"51,723"
23015,"52,019"
23017,"50,367"
23019,"49,836"
23021,"40,841"
23023,"61,047"
23025,"42,426"
23027,"54,547"
23029,"37,943"
23031,"66,025"
24001,"42,564"
24003,"96,133"
24005,"73,309"
24009,"100,000"
24011,"56,338"
24013,"92,890"
24015,"72,259"
24017,"94,478"
24019,"47,011"
24021,"91,727"
24023,"46,899"
24025,"80,922"
24027,"111,576"
24029,"57,760"
24031,"102,944"
24033,"80,858"
24035,"90,696"
24037,"82,433"
24039,"40,320"
24041,"70,620"
24043,"59,828"
24045,"52,341"
24047,"61,405"
24510,"46,762"
25001,"70,576"
25003,"56,063"
25005,"67,085"
25007,"67,390"
25009,"75,309"
25011,"57,930"
25013,"51,850"
25015,"67,774"
25017,"97,851"
25019,"92,347"
25021,"100,710"
25023,"86,026"
25025,"65,999"
25027,"70,222"
26001,"41,615"
26003,"46,991"
26005,"62,421"
26007,"40,603"
26009,"50,583"
26011,"41,275"
26013,"42,180"
26015,"59,460"
26017,"45,771"
26019,"54,065"
26021,"48,924"
26023,"49,387"
26025,"46,113"
26027,"52,063"
26029,"51,457"
26031,"43,724"
26033,"44,586"
26035,"36,661"
26037,"66,003"
26039,"47,068"
26041,"50,802"
26043,"48,291"
26045,"64,318"
26047,"52,796"
26049,"46,457"
26051,"41,667"
26053,"38,343"
26055,"59,674"
26057,"42,653"
26059,"47,610"
26061,"45,127"
26063,"46,627"
26065,"51,186"
26067,"57,318"
26069,"41,755"
26071,"42,082"
26073,"45,683"
26075,"50,895"
26077,"56,199"
26079,"43,357"
26081,"61,146"
26083,"43,812"
26085,"35,005"
26087,"57,621"
26089,"66,372"
26091,"56,416"
26093,"82,076"
26095,"44,479"
26097,"43,427"
26099,"60,475"
26101,"45,504"
26103,"49,472"
26105,"46,579"
26107,"45,785"
26109,"48,627"
26111,"61,290"
26113,"44,553"
26115,"61,121"
26117,"46,664"
26119,"40,170"
26121,"48,885"
26123,"47,521"
26125,"77,558"
26127,"46,423"
