fips,state,fi_rate,total_fi_people,child_fi_rate,num_fi_children,cost_per_meal,est_annual_food_budget_shortfall,region
12031,FL,17.7,161370,21.1, 43720 ,3.19,87920000.0,S
12033,FL,16.9,52470,21.4, 13970 ,3.17,28399000.0,S
12035,FL,13.4,14050,21.2, 3970 ,3.35,8028000.0,S
12037,FL,16.1,1890,23.8, 460 ,2.81,907000.0,S
12039,FL,22.2,10260,25.3, 2580 ,2.76,4824000.0,S
12041,FL,14.7,2520,24.8, 880 ,3.16,1359000.0,S
12043,FL,14.0,1850,21.9, 470 ,3.43,1083000.0,S
12045,FL,15.4,2460,20.7, 520 ,3.31,1389000.0,S
12047,FL,20.2,2880,24.6, 670 ,2.86,1404000.0,S
12049,FL,12.5,3400,24.2, 1760 ,2.94,1707000.0,S
12051,FL,13.1,5130,23.3, 2500 ,3.04,2661000.0,S
12053,FL,13.0,23380,21.3, 7150 ,3.16,12619000.0,S
12055,FL,14.4,14390,23.8, 4210 ,3.06,7503000.0,S
12057,FL,13.3,179280,19.0, 59270 ,3.32,101617000.0,S
12059,FL,17.6,3430,26.5, 1020 ,3.44,2014000.0,S
12061,FL,13.1,19370,20.6, 5250 ,3.67,12123000.0,S
12063,FL,18.8,9140,23.9, 2190 ,3.08,4800000.0,S
12065,FL,16.9,2390,20.0, 460 ,3.17,1294000.0,S
12067,FL,13.8,1200,19.1, 350 ,2.78,569000.0,S
12069,FL,12.6,41170,19.8, 12730 ,3.24,22755000.0,S
12071,FL,12.3,86050,20.5, 26400 ,3.36,49412000.0,S
12073,FL,19.7,56310,19.4, 10460 ,3.36,32330000.0,S
12075,FL,16.0,6350,25.1, 2010 ,2.91,3152000.0,S
12077,FL,16.5,1380,20.3, 310 ,3.25,766000.0,S
12079,FL,22.2,4110,29.0, 1030 ,3.11,2182000.0,S
12081,FL,12.4,44940,19.9, 13870 ,3.35,25670000.0,S
12083,FL,14.9,51310,23.1, 14930 ,3.06,26783000.0,S
12085,FL,11.3,17650,18.1, 4740 ,3.53,10634000.0,S
12086,FL,9.5,255680,19.4, 107530 ,3.51,153088000.0,S
12087,FL,11.4,8730,17.9, 2080 ,4.0,5954000.0,S
12089,FL,12.4,9750,19.6, 3120 ,3.53,5878000.0,S
12091,FL,13.4,26460,19.0, 8360 ,3.43,15504000.0,S
12093,FL,13.6,5480,23.0, 2040 ,2.77,2586000.0,S
12095,FL,13.8,178240,19.4, 56530 ,3.31,100534000.0,S
12097,FL,9.8,32020,19.9, 16220 ,3.07,16752000.0,S
12099,FL,12.9,184110,19.0, 52710 ,3.59,112914000.0,S
12101,FL,12.7,63220,19.7, 20080 ,3.29,35496000.0,S
