fips,pop_estimate,percent_white,percent_black,percent_native_american,percent_asian,percent_nhpi,percent_multi,percent_nonwhite_hispanic
13239,2140,42.50,50.70,0.00,5.00,0.20,1.50,0.00
13241,16354,92.20,2.00,0.50,0.80,0.00,0.70,0.03
13243,7206,36.70,59.70,0.00,1.40,0.00,1.00,0.01
13245,201568,38.20,56.00,0.20,1.80,0.20,0.40,0.02
13247,88482,42.10,51.80,0.10,2.00,0.20,0.70,0.03
13249,5168,69.20,28.00,0.00,0.00,0.00,1.10,0.03
13251,14037,55.80,41.70,0.30,0.50,0.00,0.80,0.01
13253,8549,61.80,33.70,0.00,1.00,0.00,1.00,0.03
13255,64192,62.90,33.30,0.40,0.90,0.00,0.60,0.01
13257,25625,84.00,11.70,0.30,0.40,0.00,0.90,0.02
13259,5832,27.70,50.30,0.30,2.20,0.00,1.40,0.18
13261,30687,42.20,52.40,0.10,1.10,0.00,0.80,0.03
13263,6423,42.10,56.60,0.10,0.50,0.00,0.30,0.00
13265,1844,37.00,61.80,0.00,0.30,0.00,0.30,0.01
13267,25402,60.00,29.20,0.30,0.20,0.00,0.90,0.09
13269,8267,57.50,40.40,0.00,0.90,0.00,0.30,0.01
13271,16339,54.60,42.90,0.00,0.00,0.00,0.50,0.06
13273,8978,36.40,62.00,0.10,0.20,0.00,0.90,0.02
13275,44909,60.00,35.80,0.10,0.80,0.00,0.90,0.01
13277,40531,63.60,29.40,0.10,1.20,0.00,0.60,0.04
13279,27160,62.70,25.50,0.00,0.90,0.00,1.10,0.09
13281,11173,95.70,1.20,0.60,0.20,0.00,0.70,0.01
13283,6752,69.70,29.70,0.00,0.00,0.00,0.30,0.00
13285,69433,59.00,35.20,0.10,2.00,0.00,0.50,0.02
13287,8036,55.40,42.90,0.20,0.40,0.00,0.80,0.04
13289,8323,55.30,42.60,0.00,0.10,0.00,1.50,0.00
13291,22262,97.10,0.80,0.40,0.70,0.00,0.60,0.00
13293,26241,69.70,28.50,0.30,0.50,0.10,0.60,0.00
13295,68609,92.30,4.30,0.10,0.70,0.00,0.60,0.01
13297,88695,79.00,16.60,0.20,1.20,0.10,0.40,0.01
13299,35688,65.30,29.70,0.40,1.10,0.00,0.80,0.02
13301,5410,37.20,60.60,0.00,1.00,0.30,0.80,0.01
13303,20506,45.00,53.10,0.00,0.60,0.00,0.50,0.01
13305,29833,74.70,20.00,0.10,0.50,0.00,0.90,0.03
13307,2627,49.40,48.80,0.10,0.00,0.00,0.60,0.01
13309,7952,57.30,42.20,0.30,0.00,0.00,0.20,0.01
13311,28509,94.50,2.10,0.20,0.50,0.00,0.90,0.01
13313,103963,88.40,3.90,0.60,1.40,0.00,0.40,0.05
13315,8896,62.50,35.50,0.30,0.00,0.00,0.60,0.00
13317,9905,52.80,42.50,0.00,0.80,0.00,0.90,0.03
13319,9147,58.80,38.20,0.10,0.00,0.10,1.20,0.01
13321,20809,68.90,28.20,0.90,0.30,0.00,0.90,0.01
15001,196325,33.90,0.60,0.40,22.20,13.10,1.10,0.09
15003,990060,21.10,2.30,0.10,42.90,9.40,0.40,0.07
15005,86,20.90,0.00,0.00,31.40,33.70,10.80,0.05
15007,71093,32.80,0.70,0.50,34.80,9.40,1.50,0.08
15009,164094,35.50,0.60,0.20,29.00,10.70,1.20,0.06
16001,435117,90.90,1.30,0.50,2.60,0.20,0.30,0.02
16003,3946,95.80,0.30,1.20,0.00,0.20,0.80,0.00
