fips,median_household_income
32029,61751
32031,61506
32033,53765
32510,55228
33001,63902
33003,58005
33005,60844
33007,43836
33009,63322
33011,78171
33013,70408
33015,89049
33017,68864
33019,59493
34001,59309
34003,93805
34005,86777
34007,65817
34009,64450
34011,51786
34013,60284
34015,84639
34017,65673
34019,113083
34021,78161
34023,85187
34025,97627
34027,114269
34029,70493
34031,63127
34033,61322
34035,111838
34037,89744
34039,76830
34041,79633
35001,51091
35003,34458
35005,43341
35006,37753
35007,39372
35009,43590
35011,33095
35013,38562
35015,52932
35017,40684
35019,31915
35021,35441
35023,33557
35025,52358
35027,47141
35028,118380
35029,30621
35031,31746
35033,33671
35035,43338
35037,29600
35039,36977
35041,37767
35043,56937
35045,46977
35047,33205
35049,58639
35051,30356
35053,34880
35055,34980
35057,36886
35059,38627
35061,46155
36001,65659
36003,46491
36005,37377
36007,47910
36009,47875
36011,55460
36013,45840
36015,50562
36017,48161
36019,56436
36021,60629
36023,52038
36025,45385
36027,76955
36029,55581
36031,52741
36033,50187
36035,46984
36037,55522
36039,54635
36041,51520
36043,46733
36045,47436
36047,56548
36049,51857
36051,56407
36053,56477
36055,57660
36057,46601
36059,107465
36061,84133
36063,54317
36065,53234
36067,57641
36069,65271
36071,77606
36073,48799
36075,52732
36077,51561
36079,98765
36081,64046
36083,63457
36085,78466
36087,87873
36089,49607
36091,82732
36093,61841
36095,51007
36097,48782
36099,54563
36101,50807
36103,94108
36105,52504
36107,57190
36109,56539
36111,62531
36113,58859
36115,53609
36117,52709
36119,90483
36121,53986
36123,49198
37001,47914
37003,48577
37005,38994
37007,41266
37009,40611
37011,40682
37013,43497
37015,33022
37017,38059
37019,56227
37021,50271
37023,42179
37025,62167
37027,44798
37029,64086
37031,53192
37033,44998
37035,53348
37037,63373
37039,38283
37041,43182
37043,43684
37045,39911
37047,37639
37049,51390
37051,44065
37053,62397
37055,57316
37057,47595
37059,58147
37061,39470
37063,60045
37065,35130
37067,50803
37069,53076
37071,50016
37073,50164
37075,37748
37077,53142
37079,40131
37081,52284
37083,34027
37085,51406
37087,47872
37089,51314
37091,38786
37093,50777
37095,41214
37097,56559
37099,46113
37101,58647
37103,41523
37105,53297
37107,39411
37109,57042
37111,42853
37113,42456
37115,41891
37117,37225
37119,65750
37121,40589
37123,43695
37125,62781
37127,47597
37129,53692
37131,36190
37133,49634
37135,69422
37137,48410
37139,46709
37141,52187
37143,45011
37145,50269
37147,46229
37149,45587
37151,44207
37153,36401
37155,33714
37157,46247
37159,47541
37161,40758
37163,41951
37165,37947
37167,49871
37169,48748
37171,43023
37173,41407
37175,47587
37177,35223
37179,77875
37181,39847
37183,77641
37185,36831
37187,36171
37189,48417
37191,44592
37193,42453
37195,44825
37197,46885
37199,41053
38001,50847
38003,56696
38005,41941
38007,74312
38009,55775
38011,59451
38013,62629
38015,70075
38017,64428
38019,59794
38021,53564
38023,55867
38025,67337
38027,49725
38029,46681
38031,58752
38033,63054
38035,50933
38037,48189
38039,51823
38041,51827
38043,46708
38045,57808
38047,46948
38049,53060
38051,43804
38053,75408
38055,61121
38057,82991
38059,63279
38061,64247
38063,47708
38065,68151
38067,56164
38069,48380
38071,56464
38073,62465
38075,60178
38077,61361
38079,40777
38081,62940
38083,40786
38085,34705
38087,55326
38089,66925
38091,66210
38093,57265
38095,51382
38097,63204
38099,50807
38101,62932
38103,54556
38105,80161
39001,41644
39003,51325
39005,51103
39007,45157
39009,42955
39011,63336
39013,52221
39015,48207
39017,64026
39019,51296
39021,54335
39023,47654
39025,66193
39027,50794
39029,43123
39031,44471
39033,45395
39035,46918
39037,53954
39039,59538
39041,107676
39043,54849
39045,67276
39047,46067
39049,59214
39051,59214
39053,43149
39055,82744
39057,68040
39059,43733
39061,55178
39063,54386
39065,47185
39067,48160
39069,57678
39071,43840
39073,48397
39075,61593
39077,48244
39079,44671
39081,43520
39083,52061
39085,60521
39087,43108
39089,62658
39091,54782
39093,55443
39095,47562
39097,69937
39099,43904
39101,46450
39103,72926
39105,42200
39107,60055
39109,60800
39111,44868
39113,48039
39115,41375
39117,55466
39119,44884
39121,44835
39123,55968
39125,52534
39127,51702
39129,62445
39131,43499
39133,59490
39135,52300
39137,62944
39139,47141
39141,50387
39143,53058
39145,41843
39147,47805
39149,60148
39151,51214
39153,55531
39155,46340
39157,51408
39159,86609
39161,49120
39163,40927
39165,85532
39167,46417
39169,56172
39171,50347
39173,61774
39175,47527
40001,33187
40003,52017
40005,38595
40007,53242
40009,49784
40011,46253
40013,41563
40015,41085
40017,73878
40019,45755
40021,40051
40023,30501
40025,40370
40027,61364
40029,37874
40031,50530
40033,42518
40035,39320
40037,47397
40039,47244
40041,37173
40043,48939
40045,48001
40047,49116
40049,41990
40051,54887
40053,45025
40055,34254
40057,35144
40059,50101
40061,36551
40063,35875
40065,44733
40067,36169
40069,40129
40071,45447
40073,61728
40075,36003
40077,37358
40079,38576
40081,47011
40083,60628
40085,48312
40087,63787
40089,32092
40091,37210
40093,49929
40095,45133
40097,45343
40099,46602
40101,38692
40103,57383
40105,41183
40107,37551
40109,51389
40111,42811
40113,47084
40115,38168
40117,46570
40119,40237
40121,44194
40123,44913
40125,48103
40127,35695
40129,51695
40131,61731
40133,36780
40135,37755
40137,47637
40139,48412
40141,39581
40143,52579
40145,59466
40147,51691
40149,44970
40151,49979
40153,52345
41001,43929
41003,60572
41005,79404
41007,52706
41009,61453
41011,42464
41013,47940
41015,40580
41017,65506
41019,47157
41021,53792
41023,46329
41025,42883
41027,63951
41029,51364
41031,49616
41033,43492
41035,41875
41037,43627
41039,50711
41041,45435
41043,51888
41045,41786
41047,56148
41049,51673
41051,63587
41053,56917
41055,56096
41057,48470
41059,51586
41061,46753
41063,47822
