fips,retail_soda_sales_14_tax_rate,vending_soda_sales_14_tax_rate,retail_chips_pretzels_14_tax_rate,vending_chips_pretzels_14_tax_rate,general_food_tax_rate
8115,2.91,2.91,0.0,0.0,0.0
8117,2.91,2.91,0.0,0.0,0.0
8119,2.91,2.91,0.0,0.0,0.0
8121,2.91,2.91,0.0,0.0,0.0
8123,2.91,2.91,0.0,0.0,0.0
8125,2.91,2.91,0.0,0.0,0.0
9001,6.35,6.35,0.0,0.0,0.0
9003,6.35,6.35,0.0,0.0,0.0
9005,6.35,6.35,0.0,0.0,0.0
9007,6.35,6.35,0.0,0.0,0.0
9009,6.35,6.35,0.0,0.0,0.0
9011,6.35,6.35,0.0,0.0,0.0
9013,6.35,6.35,0.0,0.0,0.0
9015,6.35,6.35,0.0,0.0,0.0
10001,0.0,0.0,0.0,0.0,0.0
10003,0.0,0.0,0.0,0.0,0.0
10005,0.0,0.0,0.0,0.0,0.0
11001,5.75,5.75,0.0,5.75,0.0
12001,6.0,6.0,0.0,6.0,0.0
12003,6.0,6.0,0.0,6.0,0.0
12005,6.0,6.0,0.0,6.0,0.0
12007,6.0,6.0,0.0,6.0,0.0
12009,6.0,6.0,0.0,6.0,0.0
12011,6.0,6.0,0.0,6.0,0.0
12013,6.0,6.0,0.0,6.0,0.0
12015,6.0,6.0,0.0,6.0,0.0
12017,6.0,6.0,0.0,6.0,0.0
12019,6.0,6.0,0.0,6.0,0.0
12021,6.0,6.0,0.0,6.0,0.0
12023,6.0,6.0,0.0,6.0,0.0
12027,6.0,6.0,0.0,6.0,0.0
12029,6.0,6.0,0.0,6.0,0.0
12031,6.0,6.0,0.0,6.0,0.0
12033,6.0,6.0,0.0,6.0,0.0
12035,6.0,6.0,0.0,6.0,0.0
12037,6.0,6.0,0.0,6.0,0.0
12039,6.0,6.0,0.0,6.0,0.0
12041,6.0,6.0,0.0,6.0,0.0
12043,6.0,6.0,0.0,6.0,0.0
12045,6.0,6.0,0.0,6.0,0.0
12047,6.0,6.0,0.0,6.0,0.0
12049,6.0,6.0,0.0,6.0,0.0
12051,6.0,6.0,0.0,6.0,0.0
12053,6.0,6.0,0.0,6.0,0.0
12055,6.0,6.0,0.0,6.0,0.0
12057,6.0,6.0,0.0,6.0,0.0
12059,6.0,6.0,0.0,6.0,0.0
12061,6.0,6.0,0.0,6.0,0.0
12063,6.0,6.0,0.0,6.0,0.0
12065,6.0,6.0,0.0,6.0,0.0
12067,6.0,6.0,0.0,6.0,0.0
12069,6.0,6.0,0.0,6.0,0.0
12071,6.0,6.0,0.0,6.0,0.0
12073,6.0,6.0,0.0,6.0,0.0
12075,6.0,6.0,0.0,6.0,0.0
12077,6.0,6.0,0.0,6.0,0.0
12079,6.0,6.0,0.0,6.0,0.0
12081,6.0,6.0,0.0,6.0,0.0
12083,6.0,6.0,0.0,6.0,0.0
12085,6.0,6.0,0.0,6.0,0.0
12086,6.0,6.0,0.0,6.0,0.0
12087,6.0,6.0,0.0,6.0,0.0
12089,6.0,6.0,0.0,6.0,0.0
12091,6.0,6.0,0.0,6.0,0.0
12093,6.0,6.0,0.0,6.0,0.0
12095,6.0,6.0,0.0,6.0,0.0
12097,6.0,6.0,0.0,6.0,0.0
12099,6.0,6.0,0.0,6.0,0.0
12101,6.0,6.0,0.0,6.0,0.0
12103,6.0,6.0,0.0,6.0,0.0
12105,6.0,6.0,0.0,6.0,0.0
12107,6.0,6.0,0.0,6.0,0.0
12109,6.0,6.0,0.0,6.0,0.0
12111,6.0,6.0,0.0,6.0,0.0
12113,6.0,6.0,0.0,6.0,0.0
12115,6.0,6.0,0.0,6.0,0.0
12117,6.0,6.0,0.0,6.0,0.0
12119,6.0,6.0,0.0,6.0,0.0
12121,6.0,6.0,0.0,6.0,0.0
12123,6.0,6.0,0.0,6.0,0.0
12125,6.0,6.0,0.0,6.0,0.0
12127,6.0,6.0,0.0,6.0,0.0
12129,6.0,6.0,0.0,6.0,0.0
12131,6.0,6.0,0.0,6.0,0.0
12133,6.0,6.0,0.0,6.0,0.0
13001,0.0,4.0,0.0,4.0,0.0
13003,0.0,4.0,0.0,4.0,0.0
13005,0.0,4.0,0.0,4.0,0.0
13007,0.0,4.0,0.0,4.0,0.0
13009,0.0,4.0,0.0,4.0,0.0
13011,0.0,4.0,0.0,4.0,0.0
13013,0.0,4.0,0.0,4.0,0.0
13015,0.0,4.0,0.0,4.0,0.0
13017,0.0,4.0,0.0,4.0,0.0
13019,0.0,4.0,0.0,4.0,0.0
13021,0.0,4.0,0.0,4.0,0.0
13023,0.0,4.0,0.0,4.0,0.0
13025,0.0,4.0,0.0,4.0,0.0
13027,0.0,4.0,0.0,4.0,0.0
13029,0.0,4.0,0.0,4.0,0.0
13031,0.0,4.0,0.0,4.0,0.0
13033,0.0,4.0,0.0,4.0,0.0
13035,0.0,4.0,0.0,4.0,0.0
13037,0.0,4.0,0.0,4.0,0.0
13039,0.0,4.0,0.0,4.0,0.0
13043,0.0,4.0,0.0,4.0,0.0
13045,0.0,4.0,0.0,4.0,0.0
13047,0.0,4.0,0.0,4.0,0.0
13049,0.0,4.0,0.0,4.0,0.0
13051,0.0,4.0,0.0,4.0,0.0
13053,0.0,4.0,0.0,4.0,0.0
13055,0.0,4.0,0.0,4.0,0.0
13057,0.0,4.0,0.0,4.0,0.0
13059,0.0,4.0,0.0,4.0,0.0
13061,0.0,4.0,0.0,4.0,0.0
13063,0.0,4.0,0.0,4.0,0.0
13065,0.0,4.0,0.0,4.0,0.0
13067,0.0,4.0,0.0,4.0,0.0
13069,0.0,4.0,0.0,4.0,0.0
13071,0.0,4.0,0.0,4.0,0.0
13073,0.0,4.0,0.0,4.0,0.0
13075,0.0,4.0,0.0,4.0,0.0
13077,0.0,4.0,0.0,4.0,0.0
13079,0.0,4.0,0.0,4.0,0.0
13081,0.0,4.0,0.0,4.0,0.0
13083,0.0,4.0,0.0,4.0,0.0
